,year,fuel,car_running,mileage,car
5512,2017,Diesel,less than 50000,more than 20,Hyundai i20 1.4
7337,2017,Diesel,less than 100000,0-15,Other
7466,2011,Diesel,less than 500000,0-15,Mahindra Bolero SLX
4337,2016,Petrol,less than 25000,0-15,Skoda Rapid 1.6
3558,2013,Diesel,less than 50000,more than 20,Hyundai i20 Magna
1595,2014,Petrol,less than 100000,more than 15,Honda City i
3083,2016,Petrol,less than 100000,more than 15,Toyota Camry 2.5
1001,2014,Diesel,less than 50000,more than 15,Mahindra Bolero 2011-2019
6191,2014,Diesel,less than 100000,more than 20,Hyundai Verna 1.6
5326,2012,Diesel,less than 500000,more than 20,Other
8095,2012,Diesel,less than 500000,more than 20,Ford Figo Diesel
2378,2015,Diesel,less than 500000,more than 25,Ford Figo Aspire
7992,2012,Diesel,less than 100000,more than 20,Maruti Ertiga VDI
5857,2013,Diesel,less than 100000,more than 25,Chevrolet Beat Diesel
4732,2008,Petrol,less than 50000,more than 20,Maruti Wagon R
6236,2015,Diesel,less than 100000,more than 20,Nissan Terrano XL
597,2011,Diesel,less than 500000,more than 20,Hyundai Verna 1.6
826,2017,Diesel,less than 100000,more than 15,Hyundai Creta 1.6
675,2016,Petrol,less than 100000,more than 15,Hyundai Xcent 1.2
402,2020,CNG,less than 50000,more than 20,Maruti Eeco CNG
3524,2016,Petrol,less than 100000,more than 15,Honda Jazz VX
2537,2014,Diesel,less than 100000,0-15,Other
1150,2019,Petrol,less than 10000,more than 15,Honda Amaze V
1748,2017,Diesel,less than 100000,more than 15,Toyota Fortuner 2.8
185,2010,Diesel,less than 100000,more than 20,Toyota Corolla Altis
7324,2017,Diesel,less than 25000,more than 15,Other
6513,2020,Diesel,less than 100000,more than 25,Mahindra KUV 100
1775,2000,Petrol,less than 100000,more than 15,Maruti 800 AC
7203,2015,Diesel,less than 500000,more than 25,Maruti Swift VDI
3363,2015,Petrol,less than 50000,more than 20,Maruti Baleno Delta
1957,2005,Petrol,less than 500000,more than 15,Other
3424,2019,Petrol,less than 10000,more than 15,Honda Amaze V
1160,2015,Diesel,less than 100000,more than 20,Other
7608,2019,Diesel,less than 50000,more than 25,Maruti Swift Dzire
3726,2012,Diesel,less than 100000,more than 20,Hyundai Verna 1.6
5258,2017,Diesel,less than 50000,0-15,Other
6206,2016,Diesel,less than 50000,more than 15,Renault Duster 110PS
1196,2010,Petrol,less than 100000,more than 15,Maruti Wagon R
6298,2018,Diesel,less than 100000,more than 20,Hyundai Creta 1.4
4843,2017,Petrol,less than 100000,more than 15,Mahindra KUV 100
220,2011,Petrol,less than 50000,more than 15,Maruti Alto LXi
5703,2017,Petrol,less than 50000,more than 15,Hyundai Grand i10
5061,2010,Petrol,less than 100000,more than 15,Maruti Swift Dzire
4233,2018,Diesel,less than 10000,more than 15,Volvo V40 D3
2805,2007,Diesel,less than 500000,0-15,Toyota Innova 2.5
2063,2016,Petrol,less than 100000,more than 20,Maruti Celerio VXI
5256,2019,Petrol,less than 25000,more than 15,Other
3981,2014,Diesel,less than 100000,more than 15,Mahindra XUV500 W6
364,2013,Diesel,less than 500000,more than 20,Other
3953,2018,Diesel,less than 50000,more than 15,Mahindra Thar CRDe
6466,2011,Diesel,less than 100000,more than 20,Volkswagen Vento Diesel
4578,2016,Diesel,less than 100000,more than 20,Tata Zest Quadrajet
6455,2015,Diesel,less than 100000,more than 15,Mahindra XUV500 W8
5070,2017,Petrol,less than 100000,more than 15,Maruti Eeco 5
4642,2011,Diesel,less than 100000,more than 15,Tata Manza Aura
7994,2008,Petrol,less than 100000,more than 15,Honda City 2017-2020
7227,2016,Petrol,less than 50000,more than 15,Other
1281,2010,Diesel,less than 500000,more than 15,Tata Manza Aura
1705,2013,Petrol,less than 100000,more than 20,Hyundai EON Era
5433,2017,Diesel,less than 100000,more than 25,Tata Tiago 1.05
6417,2005,Petrol,less than 500000,0-15,Honda City 1.5
1185,2012,Diesel,less than 100000,more than 15,Toyota Etios Liva
130,2019,Petrol,less than 10000,more than 15,Honda Amaze S
302,2005,Petrol,less than 100000,more than 15,Other
818,2009,Petrol,less than 100000,more than 15,Maruti Omni 8
3054,2012,Petrol,less than 50000,more than 15,Maruti Swift Dzire
1893,2004,Diesel,less than 500000,0-15,Other
4616,2013,Diesel,less than 100000,more than 15,Mahindra Bolero 2011-2019
3601,2019,Petrol,less than 25000,more than 15,Hyundai i20 Active
2584,2015,Diesel,less than 500000,more than 20,Hyundai Verna 1.4
235,2010,Diesel,less than 500000,more than 20,Maruti Ritz LDi
4271,2019,Petrol,less than 10000,more than 15,Honda Amaze V
4275,2016,Diesel,less than 500000,more than 20,Hyundai Xcent 1.1
7520,2008,Diesel,less than 500000,more than 15,Ford Fiesta 1.4
6669,2011,Diesel,less than 500000,more than 20,Ford Figo Diesel
6909,2014,Petrol,less than 100000,more than 15,Chevrolet Sail Hatchback
1108,2018,Petrol,less than 100000,more than 20,Maruti Swift AMT
1232,2012,Petrol,less than 500000,more than 15,Chevrolet Spark 1.0
3149,2017,Diesel,less than 50000,more than 20,Tata Zest Quadrajet
4504,2014,Diesel,less than 100000,0-15,Toyota Innova 2.5
7053,2019,Petrol,less than 25000,more than 20,Other
7020,2010,Petrol,less than 50000,more than 15,Ford Figo Petrol
862,2005,Petrol,less than 100000,more than 15,Other
5479,2017,Diesel,less than 100000,more than 25,Maruti Swift Dzire
1700,2015,Petrol,less than 25000,more than 20,Maruti Wagon R
7732,2014,Diesel,less than 100000,more than 15,Other
8076,2006,Petrol,less than 100000,0-15,Maruti Wagon R
2247,2009,Petrol,less than 500000,more than 15,Maruti Ritz VXi
7574,2012,Diesel,less than 500000,more than 20,Hyundai Verna 1.6
2841,2015,Diesel,less than 100000,more than 15,Hyundai Creta 1.6
6177,2017,Petrol,less than 50000,more than 15,Toyota Etios VX
6320,1998,Petrol,less than 100000,more than 15,Maruti 800 AC
1370,2017,Diesel,less than 100000,more than 15,Other
7481,2015,Petrol,less than 50000,more than 15,Hyundai Verna 1.6
6115,2017,Diesel,less than 50000,more than 20,Volkswagen Ameo 1.5
6771,2007,Petrol,less than 500000,more than 15,Maruti Zen Estilo
6685,2012,Diesel,less than 100000,more than 20,Ford Figo Diesel
7812,2016,Petrol,less than 500000,more than 20,Hyundai EON 1.0
5333,2012,Petrol,less than 50000,more than 20,Hyundai i10 Magna
555,2016,Petrol,less than 50000,more than 15,Honda Jazz 1.2
6663,2018,Petrol,less than 50000,more than 15,Hyundai i20 Active
3434,2015,Diesel,less than 100000,more than 25,Honda Amaze S
2696,2008,Petrol,less than 100000,more than 15,Hyundai i10 Era
6562,2016,Petrol,less than 100000,more than 15,Honda Jazz VX
7286,2011,Diesel,less than 100000,more than 20,Ford Figo Diesel
7240,2019,Petrol,less than 10000,more than 20,Other
4413,2011,Diesel,less than 500000,0-15,Mahindra Scorpio VLX
4456,2007,Petrol,less than 100000,more than 15,Maruti Swift 1.3
4328,2016,Petrol,less than 100000,more than 15,Honda Jazz VX
3382,2009,Petrol,less than 50000,more than 15,Maruti Alto LXi
2196,2016,Diesel,less than 100000,more than 20,Hyundai i20 Sportz
3927,2010,Petrol,less than 100000,more than 15,Other
7193,2013,Petrol,less than 50000,more than 20,Hyundai EON Magna
4324,2019,Diesel,less than 25000,more than 15,Volvo XC40 D4
5952,2012,Diesel,less than 100000,0-15,Tata New Safari
6282,2019,Petrol,less than 25000,more than 15,Other
910,2015,Petrol,less than 50000,more than 20,Hyundai EON Magna
1831,2013,Diesel,less than 100000,more than 25,Tata Indigo eCS
3484,2010,Petrol,less than 50000,more than 15,Maruti Alto LXi
7250,2013,Petrol,less than 100000,more than 15,Hyundai Santro Xing
4858,2018,Petrol,less than 25000,more than 15,Honda Amaze S
4166,2014,Diesel,less than 100000,0-15,Mahindra Xylo E4
5216,2012,Petrol,less than 50000,more than 25,Other
7035,2017,Diesel,less than 50000,more than 20,Maruti Vitara Brezza
4617,2008,Diesel,less than 500000,0-15,Tata New Safari
5370,2011,Diesel,less than 500000,more than 20,Volkswagen Vento Diesel
3427,2017,Diesel,less than 100000,more than 25,Maruti Baleno Alpha
2990,2019,Petrol,less than 50000,more than 20,Tata Tiago 1.2
6805,2016,Petrol,less than 25000,more than 25,Renault KWID RXT
8113,2010,Diesel,less than 500000,0-15,Toyota Innova 2.5
6325,2010,Diesel,less than 500000,more than 15,Ford Fiesta 1.4
4288,2019,Petrol,less than 25000,more than 20,Other
3698,2013,Diesel,less than 100000,more than 25,Honda Amaze VX
1173,2014,Petrol,less than 25000,more than 20,Maruti Alto 800
3092,2019,Diesel,less than 10000,more than 15,BMW X4 M
3514,2017,Petrol,less than 500000,more than 20,Hyundai EON Magna
6885,2007,Petrol,less than 100000,more than 15,Maruti Zen Estilo
5008,2012,Diesel,less than 500000,0-15,Tata Safari DICOR
6958,2003,Petrol,less than 50000,0-15,Other
7006,2013,Diesel,less than 100000,more than 15,Mahindra XUV500 W6
3542,2015,Diesel,less than 50000,0-15,Other
308,2012,Petrol,less than 100000,more than 15,Other
2262,2013,Diesel,less than 100000,more than 20,Ford Figo Diesel
7836,2013,Diesel,less than 100000,more than 15,Chevrolet Enjoy TCDi
718,2016,Petrol,less than 50000,more than 15,Mahindra KUV 100
1774,2015,Petrol,less than 50000,more than 15,Honda City i
7962,2019,Petrol,less than 10000,more than 15,Ford Figo 1.2P
3861,2015,Diesel,less than 100000,0-15,Toyota Innova 2.5
1063,2018,Petrol,less than 25000,0-15,Toyota Corolla Altis
443,2015,Petrol,less than 100000,more than 15,Hyundai Xcent 1.2
3597,2012,Diesel,less than 500000,more than 15,Toyota Etios Liva
84,2016,Petrol,less than 50000,more than 15,Other
5784,2016,CNG,less than 50000,more than 20,Maruti Eeco CNG
3526,2019,Petrol,less than 10000,more than 20,Maruti Swift AMT
6419,2009,Diesel,less than 100000,more than 15,Tata Indica Vista
729,2013,Diesel,less than 100000,more than 20,Tata Manza Club
4773,2016,Diesel,less than 500000,more than 20,Other
2602,2018,Petrol,less than 100000,more than 20,Hyundai EON 1.0
3453,2012,Diesel,less than 500000,more than 20,Nissan Sunny Diesel
7090,2011,Diesel,less than 500000,more than 20,Maruti Ritz VDi
7738,2018,Petrol,less than 25000,more than 20,Maruti Alto K10
4415,2019,Petrol,less than 25000,more than 20,Lexus ES 300h
5640,2014,Petrol,less than 100000,more than 20,Hyundai EON Era
3615,2018,Petrol,less than 50000,more than 20,Maruti Alto 800
3580,2016,Petrol,less than 25000,more than 20,Maruti Swift VXI
4744,2012,Diesel,less than 500000,more than 20,Other
6305,2004,Petrol,less than 500000,more than 15,Other
2843,2013,Diesel,less than 500000,more than 20,Renault Duster 85PS
7441,2017,Diesel,less than 25000,more than 20,Other
379,2013,Diesel,less than 100000,0-15,Toyota Innova 2.5
1547,2017,Diesel,less than 500000,more than 15,Mahindra TUV 300
5327,2011,Diesel,less than 100000,more than 20,Hyundai i20 1.4
1997,2014,Diesel,less than 500000,0-15,Mahindra Scorpio VLX
6579,2013,Petrol,less than 100000,more than 20,Maruti Wagon R
7340,2018,Diesel,less than 10000,more than 15,Other
4100,2018,Petrol,less than 25000,more than 20,Maruti Swift ZXI
7654,2018,Petrol,less than 50000,more than 20,Tata Tiago 1.2
5086,2015,Diesel,less than 500000,0-15,Tata Safari Storme
4499,2019,Petrol,less than 10000,more than 15,Honda City i-VTEC
5456,2006,Diesel,less than 100000,more than 15,Other
534,2017,Petrol,less than 25000,more than 20,Hyundai EON Magna
3522,2013,Petrol,less than 100000,more than 20,Maruti Wagon R
6209,2016,Petrol,less than 100000,more than 25,Renault KWID RXL
4339,2008,Petrol,less than 500000,more than 15,Maruti Wagon R
678,2019,Petrol,less than 50000,more than 20,Maruti Swift Dzire
2453,2016,Petrol,less than 50000,more than 15,Maruti Omni E
7788,2017,Petrol,less than 100000,more than 20,Maruti Wagon R
539,2008,Diesel,less than 100000,more than 15,Maruti Swift VDI
6914,2014,Diesel,less than 100000,more than 15,Renault Duster 110PS
1837,2011,Diesel,less than 100000,more than 15,Other
1712,2015,Diesel,less than 500000,0-15,Tata Safari Storme
6136,2019,Petrol,less than 10000,more than 15,Other
2122,2009,Petrol,less than 100000,more than 15,Chevrolet Spark 1.0
1554,2012,Diesel,less than 500000,0-15,Mahindra Xylo D2
2488,2012,Diesel,less than 500000,0-15,Other
1715,2013,Petrol,less than 100000,more than 20,Maruti Wagon R
6636,2017,Petrol,less than 50000,more than 15,Hyundai i20 1.2
6088,2017,Petrol,less than 100000,more than 20,Datsun GO T
1551,2020,Petrol,less than 10000,more than 20,Maruti Baleno Delta
3025,2007,Petrol,less than 100000,more than 15,Maruti Wagon R
4382,2013,Diesel,less than 500000,more than 20,Hyundai i20 Sportz
3319,2011,Petrol,less than 50000,more than 15,Maruti Zen Estilo
1362,2014,Petrol,less than 100000,more than 20,Hyundai EON Magna
2854,2011,Diesel,less than 500000,more than 20,Volkswagen Polo Diesel
6442,2011,Diesel,less than 100000,more than 15,Tata Indica Vista
6336,2012,Petrol,less than 100000,more than 15,Maruti Wagon R
269,2015,Petrol,less than 25000,more than 20,Maruti Swift Dzire
661,2019,Diesel,less than 10000,more than 15,BMW X4 M
6010,2016,Diesel,less than 50000,more than 15,Tata Indigo CS
3955,2014,Diesel,less than 500000,0-15,Other
3266,2018,Diesel,less than 50000,more than 20,Hyundai i20 1.4
5247,2017,Diesel,less than 50000,more than 15,Jaguar XF 2.0
4070,2014,Diesel,less than 100000,more than 15,Mahindra Thar CRDe
893,2010,Diesel,less than 500000,more than 20,Ford Figo Diesel
2943,2016,Diesel,less than 50000,0-15,Toyota Innova Crysta
3689,2017,Diesel,less than 50000,more than 20,Maruti SX4 S
5489,2013,Diesel,less than 100000,more than 25,Chevrolet Beat Diesel
3844,2017,Diesel,less than 100000,more than 20,Hyundai Grand i10
3631,2018,Diesel,less than 25000,more than 15,Mahindra TUV 300
3169,2016,Diesel,less than 100000,more than 15,Other
1869,2017,Petrol,less than 50000,more than 20,Maruti Baleno Delta
1290,2012,Diesel,less than 500000,more than 20,Other
4758,2016,Diesel,less than 50000,0-15,Toyota Innova Crysta
5352,2018,Diesel,less than 25000,more than 25,Maruti Ciaz 1.3
735,2007,Diesel,less than 500000,0-15,Mahindra Bolero 2011-2019
3485,2011,Diesel,less than 100000,more than 20,Tata Manza Aura
4548,2016,Petrol,less than 50000,more than 20,Maruti Alto 800
7946,2018,Diesel,less than 25000,more than 15,Renault Duster 110PS
2611,2014,Diesel,less than 500000,more than 20,Hyundai Verna 1.4
3594,2011,Diesel,less than 100000,more than 20,Hyundai Verna 1.6
4896,2017,Diesel,less than 50000,more than 15,Mahindra XUV500 W6
2501,2016,Petrol,less than 100000,more than 15,Hyundai Grand i10
3736,2014,Diesel,less than 500000,more than 20,Toyota Etios GD
1891,2006,Petrol,less than 500000,more than 15,Maruti Alto LX
6661,2012,Petrol,less than 50000,more than 15,Maruti Wagon R
6682,2011,Diesel,less than 500000,more than 20,Hyundai i20 1.4
6339,2013,Diesel,less than 100000,more than 20,Fiat Grande Punto
1361,2012,Diesel,less than 100000,more than 20,Maruti Ertiga ZDI
6380,2014,Petrol,less than 100000,more than 15,Maruti Swift Dzire
187,2014,Diesel,less than 50000,0-15,Toyota Fortuner 4x2
7719,2018,Petrol,less than 25000,more than 20,Maruti Wagon R
2179,2013,Petrol,less than 100000,more than 20,Maruti Alto 800
1952,2013,Petrol,less than 50000,more than 15,Maruti Eeco 5
196,2020,Petrol,less than 10000,more than 15,Hyundai Elite i20
2549,2012,Diesel,less than 100000,more than 15,Tata Indica Vista
6955,2013,Diesel,less than 500000,more than 15,Tata Indica V2
322,2018,Diesel,less than 50000,more than 20,Hyundai Grand i10
5576,2011,Petrol,less than 100000,more than 15,Hyundai Santro Xing
7411,2018,Diesel,less than 25000,0-15,Toyota Innova Crysta
2436,2014,Diesel,less than 100000,more than 15,Other
2707,2007,Diesel,less than 500000,0-15,Toyota Innova 2.5
7506,2014,Diesel,less than 50000,0-15,Other
5151,2011,Diesel,less than 100000,more than 20,Ford Figo Diesel
2234,2016,Diesel,less than 500000,more than 15,Mahindra XUV500 W10
7067,2012,Petrol,less than 100000,more than 15,Maruti Alto LXi
5197,2016,Petrol,less than 100000,more than 15,Ford Figo 1.2P
3166,2014,Diesel,less than 50000,more than 25,Other
489,2018,Petrol,less than 100000,more than 20,Hyundai Xcent 1.2
7637,2015,Diesel,less than 100000,more than 25,Maruti Swift Dzire
6809,2016,Petrol,less than 100000,more than 25,Renault KWID RXT
4120,2008,Petrol,less than 100000,0-15,Hyundai Verna 1.6
34,2017,Diesel,less than 25000,more than 20,Maruti Vitara Brezza
113,2013,Diesel,less than 100000,more than 20,Hyundai i20 Magna
1955,2012,Petrol,less than 50000,more than 15,Maruti Alto LX
917,2009,Diesel,less than 500000,more than 15,Maruti Swift Dzire
8106,2012,Diesel,less than 500000,more than 20,Hyundai Verna 1.6
2491,2017,Petrol,less than 100000,more than 15,Hyundai Grand i10
4313,2012,Petrol,less than 50000,more than 20,Hyundai i10 Magna
7973,2015,Diesel,less than 500000,0-15,Toyota Innova 2.5
8103,2006,Petrol,less than 500000,more than 15,Maruti Swift 1.3
1314,2014,Diesel,less than 500000,more than 20,Other
2650,2010,Diesel,less than 50000,more than 20,Tata Indigo CS
6331,2011,Diesel,less than 500000,more than 20,Other
6991,2015,Diesel,less than 100000,more than 15,Mahindra XUV500 AT
8049,2016,Petrol,less than 25000,more than 15,Honda Jazz 1.2
2026,2011,Petrol,less than 100000,more than 15,Maruti A-Star Vxi
4441,2006,Diesel,less than 100000,more than 15,Maruti Swift VDI
2888,2015,Petrol,less than 25000,more than 20,Maruti Alto K10
5122,2011,Diesel,less than 100000,0-15,Mahindra Bolero DI
1854,2010,Petrol,less than 100000,more than 15,Chevrolet Beat LT
6272,2017,Petrol,less than 50000,more than 15,Hyundai i20 2015-2017
4303,2011,Petrol,less than 25000,more than 15,Maruti Swift Dzire
4110,2015,Diesel,less than 500000,more than 20,Toyota Etios Liva
1180,2013,Diesel,less than 500000,more than 15,Mahindra Bolero 2011-2019
5984,2013,Petrol,less than 50000,more than 15,Maruti Swift VXI
2702,2015,Diesel,less than 100000,0-15,Toyota Fortuner 4x2
3944,2012,Diesel,less than 500000,more than 20,Other
4140,2015,Diesel,less than 500000,more than 20,Ford EcoSport 1.5
1098,2017,Diesel,less than 50000,more than 15,Jaguar XF 2.0
7980,2018,Petrol,less than 50000,more than 20,Maruti Alto 800
2752,2017,Petrol,less than 50000,more than 15,Hyundai i10 Magna
7071,2019,Diesel,less than 25000,more than 15,Mahindra Thar CRDe
3672,2013,Petrol,less than 100000,more than 20,Maruti Alto 800
1656,2014,Diesel,less than 500000,more than 25,Honda City i
861,2016,Petrol,less than 100000,more than 25,Renault KWID RXT
7583,2006,Diesel,less than 500000,more than 15,Tata Indica V2
7484,2018,Petrol,less than 50000,more than 20,Other
5276,2008,Petrol,less than 50000,0-15,Hyundai Santro Xing
2355,2018,Petrol,less than 25000,more than 20,Maruti Swift ZXI
1189,2014,Diesel,less than 500000,more than 20,Mahindra Verito 1.5
2553,2017,Petrol,less than 100000,more than 15,Hyundai Grand i10
5948,2011,Petrol,less than 50000,more than 15,Tata Manza Aura
371,2019,Petrol,less than 25000,more than 20,Lexus ES 300h
811,2011,Diesel,less than 500000,more than 15,Tata Manza Aura
7668,2012,Diesel,less than 100000,more than 20,Maruti Ritz VDi
2131,2014,Diesel,less than 100000,0-15,Other
2640,2019,Petrol,less than 10000,more than 20,Maruti Swift AMT
6545,2016,Diesel,less than 25000,more than 20,Hyundai i20 2015-2017
4194,2018,Diesel,less than 50000,more than 20,Ford EcoSport 1.5
5428,2013,Petrol,less than 500000,more than 15,Other
7632,2012,Diesel,less than 100000,more than 15,Chevrolet Cruze LTZ
5382,2016,Diesel,less than 100000,more than 25,Maruti Swift Dzire
3519,2015,Diesel,less than 500000,0-15,Tata Safari Storme
5629,2019,Diesel,less than 10000,more than 15,BMW X4 M
6479,2017,Petrol,less than 100000,more than 20,Datsun GO T
1386,2015,Petrol,less than 50000,more than 15,Hyundai i20 Asta
4365,2010,Diesel,less than 500000,more than 20,Maruti Ritz VDi
6967,2016,Petrol,less than 100000,more than 15,Honda Jazz VX
272,2012,Diesel,less than 500000,more than 15,Maruti Swift Dzire
1921,2011,Petrol,less than 100000,more than 15,Maruti Omni E
5511,2018,Diesel,less than 25000,more than 15,Other
6675,2018,Petrol,less than 25000,more than 15,Hyundai Grand i10
221,2018,Petrol,less than 50000,more than 25,Renault KWID RXT
4717,2015,Diesel,less than 100000,more than 15,Mahindra Bolero 2011-2019
3471,2014,Diesel,less than 500000,more than 20,Hyundai Verna 1.6
260,2012,Diesel,less than 500000,more than 20,Maruti Swift Dzire
3345,2008,Petrol,less than 50000,more than 20,Maruti Wagon R
1580,2011,Petrol,less than 50000,more than 15,Maruti Wagon R
3323,2004,Petrol,less than 500000,more than 15,Maruti Alto LX
3053,2018,Petrol,less than 25000,more than 20,Maruti Swift Dzire
2278,2013,Diesel,less than 500000,more than 15,Tata Indica Vista
5544,2016,Petrol,less than 100000,more than 15,Other
7685,2014,Diesel,less than 500000,more than 25,Tata Indigo CS
4837,2011,Diesel,less than 100000,more than 20,Maruti Swift VDI
3147,2016,Petrol,less than 50000,more than 20,Maruti Baleno Delta
1536,2009,Petrol,less than 500000,more than 15,Other
7584,2004,Petrol,less than 500000,0-15,Other
2465,2008,Petrol,less than 100000,0-15,Maruti Omni 8
2480,2017,Diesel,less than 500000,0-15,Tata Safari Storme
1413,2015,Petrol,less than 50000,more than 20,Maruti Wagon R
2406,2010,Petrol,less than 100000,more than 15,Hyundai i10 Sportz
3847,2019,Petrol,less than 10000,more than 15,Honda Amaze V
4750,2017,Diesel,less than 100000,more than 15,Tata Indigo CS
6383,2019,Petrol,less than 500000,more than 15,Tata Zest Revotron
4992,2015,Diesel,less than 100000,0-15,Toyota Innova 2.5
7483,2005,Diesel,less than 500000,more than 15,Other
7341,2018,Diesel,less than 25000,more than 15,Other
2719,2006,Petrol,less than 500000,more than 15,Other
6198,2018,Petrol,less than 25000,more than 20,Other
3073,2017,Petrol,less than 50000,more than 15,Honda City i
3281,2012,Petrol,less than 50000,more than 15,Toyota Etios Liva
1487,2006,Petrol,less than 100000,more than 15,Maruti Alto LXi
3482,2011,Diesel,less than 500000,more than 20,Hyundai i20 1.4
5696,2016,Diesel,less than 500000,more than 25,Ford Figo 1.5D
5686,2015,Petrol,less than 100000,more than 15,Hyundai i20 Sportz
3906,2018,Diesel,less than 50000,more than 20,Hyundai Verna CRDi
5176,2014,Diesel,less than 100000,more than 15,Tata Indigo CS
758,2013,Petrol,less than 100000,more than 20,Hyundai EON D
7742,2013,Petrol,less than 25000,more than 20,Hyundai EON Era
6920,1999,Petrol,less than 100000,more than 15,Other
5763,2013,Diesel,less than 100000,more than 20,Hyundai Verna 1.6
1859,2017,Diesel,less than 50000,more than 15,Jaguar XF 2.0
6937,2016,Petrol,less than 50000,more than 20,Maruti Swift Dzire
6231,2015,Petrol,less than 50000,more than 20,Maruti Swift VXI
554,2018,Petrol,less than 50000,more than 15,Hyundai Grand i10
7599,2017,Petrol,less than 50000,more than 20,Other
5834,2016,Diesel,less than 100000,more than 15,Mahindra XUV500 AT
601,2015,Petrol,less than 25000,more than 15,Ford Ecosport 1.5
1601,2017,Petrol,less than 50000,more than 25,Renault KWID RXT
4942,2017,Petrol,less than 25000,more than 15,Hyundai Grand i10
7496,2013,Petrol,less than 500000,more than 15,Tata Indica V2
2103,2007,Diesel,less than 500000,0-15,Other
1421,2010,Diesel,less than 500000,more than 20,Hyundai i20 1.4
7353,2012,Diesel,less than 500000,more than 15,Maruti Swift Dzire
4946,2012,Petrol,less than 50000,more than 15,Other
3464,2015,Diesel,less than 50000,more than 20,Hyundai i20 Sportz
3680,2018,Diesel,less than 50000,more than 25,Maruti Swift VDI
5930,2013,Diesel,less than 500000,more than 20,Maruti Swift Dzire
2455,2006,Petrol,less than 100000,more than 15,Tata Indica V2
5873,2017,Diesel,less than 25000,more than 20,Other
5359,2015,Petrol,less than 50000,more than 15,Hyundai Verna 1.6
7413,2018,Petrol,less than 25000,more than 20,Other
2529,2019,Petrol,less than 10000,more than 20,Other
1692,2017,Diesel,less than 100000,more than 20,Ford EcoSport 1.5
5337,2007,Diesel,less than 100000,0-15,Mahindra Bolero SLX
3373,2005,Petrol,less than 25000,0-15,Other
7906,2016,Diesel,less than 500000,0-15,Toyota Innova Crysta
7113,2009,Diesel,less than 500000,more than 20,Maruti Ritz VDi
2396,2015,Petrol,less than 25000,more than 15,Other
6344,2014,Petrol,less than 100000,more than 20,Maruti Wagon R
6265,2016,Petrol,less than 50000,more than 15,Other
6592,2019,Diesel,less than 100000,more than 25,Maruti Swift Dzire
2700,2017,Diesel,less than 500000,more than 15,Mahindra Bolero Power
535,2010,Petrol,less than 100000,more than 15,Other
4501,2011,Diesel,less than 500000,more than 20,Ford Figo Diesel
6444,2016,Petrol,less than 100000,more than 15,Tata Zest Revotron
7594,2008,Petrol,less than 50000,more than 15,Other
5606,2015,Diesel,less than 500000,more than 20,Tata Indica Vista
3872,2014,Diesel,less than 100000,more than 20,Other
